Date,Open,High,Low,Close,Volume,Adj Close
2010-05-31,23.11001,23.65001,22.85999,23.56,719800,28.89369
2010-06-01,23.28503,23.60997,23.01499,23.34001,2176900,28.6239
2010-06-02,23.19502,23.57001,23.01499,23.47999,1116900,28.79558
2010-06-03,23.99998,24.39499,23.91004,24.29997,1720800,29.80118
2010-06-04,24.35502,25.13503,23.83997,23.93499,3491400,29.35358
2010-06-07,22.85999,23.70499,22.75003,23.14497,2903700,28.3847
2010-06-08,23.14997,23.38998,22.65502,22.96001,1789600,28.15788
2010-06-09,23.27502,23.715,23.00498,23.70499,1849100,29.07151
2010-06-10,23.38998,24.35002,23.28996,24.05996,1921500,29.50684
2010-06-11,24.06997,24.57001,24.05003,24.34001,2018600,29.85029
2010-06-14,24.50001,25.13996,24.50001,24.945,1724700,30.59224
2010-06-15,24.63499,25.11001,24.59996,24.92998,1444000,30.57382
2010-06-16,25.22997,25.24999,24.45997,24.85999,1555900,30.48799
2010-06-17,24.90003,25.24999,24.45997,24.68997,1801100,30.27948
2010-06-18,24.83997,25.175,24.73001,25.04502,1716800,30.71491
2010-06-21,25.26,25.485,25.1,25.21003,870400,30.91727
2010-06-22,25.03,25.22004,24.80001,24.97002,1125700,30.62293
2010-06-23,24.43002,25.1,24.36503,24.45997,2108400,29.99741
2010-06-24,24.54999,24.65001,23.84998,23.875,1683100,29.28001
2010-06-25,23.99497,24.11501,23.68497,23.76998,1195800,29.15121
2010-06-28,23.80501,24.04502,23.58002,23.86499,2026700,29.26774
2010-06-29,23.68497,23.68497,22.635,22.82003,2516000,27.9862
2010-06-30,22.97002,23.21997,22.72501,22.86499,1722300,28.04135
2010-07-01,22.41,22.69998,21.865,22.12002,2675500,27.12772
2010-07-02,22.21003,22.72,22.14497,22.255,1666000,27.29326
2010-07-05,22.42001,22.93499,22.31999,22.67003,1664800,27.80225
2010-07-06,22.91997,23.38998,22.81502,23.04502,1885000,28.26213
2010-07-07,22.715,23.18501,22.51996,23.03001,1752400,28.24372
2010-07-08,23.36503,23.64,23.21496,23.405,2231800,28.7036
2010-07-09,23.59003,23.80501,23.38498,23.73001,1573100,29.1022
2010-07-12,23.76998,23.99998,23.46998,23.75003,1568400,29.12675
2010-07-13,23.93499,24.52003,23.81502,24.39999,1891900,29.92385
2010-07-14,25.85999,25.90003,24.97002,25.14497,6288900,30.83748
2010-07-15,24.90003,24.99997,24.18,24.28002,3662200,29.77672
2010-07-16,24.50001,24.65001,23.80501,23.93999,2827000,29.35971
2010-07-19,23.945,24.07998,23.72,23.85999,1575600,29.2616
2010-07-20,24.13003,24.24999,23.52997,23.76998,1733100,29.15121
2010-07-21,23.95,24.24999,23.88001,23.98997,1942900,29.421
2010-07-22,23.98997,24.66503,23.90003,24.52504,2070700,30.07721
2010-07-23,24.565,24.65001,24.335,24.58002,1248100,30.14463
2010-07-26,24.84497,24.84497,24.36003,24.565,934300,30.12622
2010-07-27,24.81001,24.93999,24.46998,24.54999,1159700,30.1078
2010-07-28,24.60997,24.78499,24.36503,24.60496,1471100,30.17523
2010-07-29,24.80001,25.07998,24.52003,24.53998,2112200,30.09553
2010-07-30,24.21003,24.74503,24.20002,24.46998,1490400,30.00969
2010-08-02,24.80001,25.07998,24.75496,25.01499,1368800,30.67808
2010-08-03,25.05003,25.15998,24.77498,24.96502,946500,30.61679
2010-08-04,24.86499,25.21496,24.76998,24.92497,1145500,30.56768
2010-08-05,24.91497,25.175,24.60997,24.67496,736200,30.26107
2010-08-06,24.73001,24.90503,24.05503,24.06504,1629200,29.51307
2010-08-09,24.14004,24.30497,23.92998,24.24999,1304100,29.7399
2010-08-10,24.21996,24.30998,23.60997,23.67496,1627200,29.03468
